Index,Player,Nation,Position,Age,Matches Played (MP),Starts,Minutes Played (Min),90s Played (90s),Goals (Gls),Assists (Ast),Goals + Assists (G+A),Non-Penalty Goals (G-PK),Penalty Kicks Made (PK),Penalty Kicks Attempted (PKatt),Yellow Cards (CrdY),Red Cards (CrdR),Expected Goals (xG),Non-Penalty xG (npxG),Expected Assisted Goals (xAG),Non-Penalty xG + Assisted Goals (npxG+xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90 Minutes (Gls/90),Assists per 90 Minutes (Ast/90),Goals + Assists per 90 Minutes (G+A/90),Non-Penalty Goals per 90 Minutes (G-PK/90),Goals + Assists minus Penalty Kicks per 90 Minutes (G+A-PK/90),Expected Goals per 90 Minutes (xG/90),Expected Assisted Goals per 90 Minutes (xAG/90),Expected Goals + Assisted Goals per 90 Minutes (xG+xAG/90),Non-Penalty Expected Goals per 90 Minutes (npxG/90),Non-Penalty xG + Assisted Goals per 90 Minutes (npxG+xAG/90),Team,Season,Matches Played (MP)
29,Victor Parada,es ESP,"FW,MF",21,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaves,2023-2024,
30,Selu Diallo,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
31,George Gagua,ge GEO,FW,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
32,ýýlvaro Garcýýa,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
33,Gaizka Garcï¿½,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
34,Joseda,es ESP,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
35,Nikola Maraï¿,rs SRB,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
36,Rubï¿½ï¿½n Mon,es ESP,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
37,Egoitz Muï¿½ï,es ESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
38,Adrian Rodriguez,es ESP,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
39,Ander Sï¿½ï¿½n,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaves,2023-2024,
40,Squad Total,,,25.6,38,418,3420,38,33,28,61,30,3,7,84,1,46.2,40.7,32.4,73,550,1260,1252,0.87,0.74,1.61,0.79,1.53,1.22,0.85,2.07,1.07,1.92,Alaves,2023-2024,
41,Opponent Total,,,27.2,38,418,3420,38,44,29,73,36,8,8,102,7,44.7,38.5,29.8,68.3,744,1502,1487,1.16,0.76,1.92,0.95,1.71,1.18,0.78,1.96,1.01,1.8,Alaves,2023-2024,
0,Luï¿½ï¿½s Maxim,pt POR,GK,24,33,33,2970,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Almeria,2023-2024,
1,ýýdgar Gonzýýlez,es ESP,"DF,MF",26,31,30,2522,28,2,0,2,2,0,0,7,1,2.3,2.3,0.3,2.6,6,72,6,0.07,0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Almeria,2023-2024,
2,Adri Embarba,es ESP,"FW,MF",31,36,29,2476,27.5,3,2,5,2,1,1,5,0,4.3,3.5,4.4,8,94,58,167,0.11,0.07,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29,Almeria,2023-2024,
